name	muscles	etype	equipment	rep_time	video	description
ShoulderPresses	['Shoulders']	strength	['band', 'kettlebell', 'dumbbell']	2.25		
ShoulderTaps	['Shoulders', 'Abdominals']	cardio	[None]	1		
SideLunges	['Quadriceps']	strength	[None, 'kettlebell', 'dumbbell']	2.5		
SidePlankDips	['Abdominals']	strength	[None, 'dumbbell']	1.1		
SidePlankRotations	['Abdominals']	strength	[None, 'dumbbell']	2.25		
SidePlanks	['Abdominals']	strength	[None, 'dumbbell']			
SingleArmUprightRows	['Traps', 'Shoulders']	strength	['band', 'kettlebell', 'dumbbell']	2.25		
SingleLegBridges	['LowerBack', 'Glutes', 'Hamstrings']	strength	[None]	1.5		
SingleLegDeadLifts	['LowerBack', 'Hamstrings']	strength	['band', 'kettlebell', 'dumbbell']	2.8		
SitUps	['Abdominals']	strength	[None, 'kettlebell', 'dumbbell']	1.75		
SkaterHops	['Quadriceps', 'Abductors']	cardio	[None]	1.75	https://www.youtube.com/embed/P9IAAME-1zw	
SkullCrushers	['Triceps']	strength	['kettlebell', 'dumbbell']	2.25		
SlalomJumps	['Quadriceps']	cardio	[None]	0.85	https://www.youtube.com/embed/LWIwwaQYSK0	
SpiderManPushUps	['Chest', 'Triceps', 'Shoulders', 'Abdominals']	strength	[None]	3	https://www.youtube.com/embed/qG2oWGqXSdw	
SpiderPlanks	['Abdominals']	strength	[None]	1.75	https://www.youtube.com/embed/HVyHcalg61g	
SplitSquats	['Quadriceps']	strength	[None, 'band', 'kettlebell', 'dumbbell']	2		
SquatHold	['Quadriceps', 'Glutes']	strength	[None, 'band', 'kettlebell', 'dumbbell']			
SquatJump180s	['Quadriceps']	cardio	[None]	1.75		
SquatJumps	['Quadriceps']	cardio	[None]	1.75		
SquatPresses	['Quadriceps', 'Shoulders']	strength	['band', 'kettlebell', 'dumbbell']	3		
SquatPulseLadder	['Quadriceps', 'Glutes']	strength	[None, 'band', 'kettlebell', 'dumbbell']			
SquatPulses	['Quadriceps', 'Glutes']	strength	[None, 'band', 'kettlebell', 'dumbbell']			
Squats	['Quadriceps', 'Glutes']	strength	[None, 'band', 'kettlebell', 'dumbbell']	1.5		
SquatToJumpingJacks	['Quadriceps']	cardio	[None]	2		
SquatToLunges	['Quadriceps']	strength	[None, 'band', 'kettlebell', 'dumbbell']	4		
SquatWalk	['Quadriceps']	strength	[None, 'band', 'kettlebell', 'dumbbell']			
StandingFigure8s	['Biceps', 'Quadriceps', 'Abdominals']	strength	['kettlebell', 'dumbbell']	3		
StandingLegExtensions	['Quadriceps']	strength	[None]	2.5		
StarCrunches	['Abdominals']	strength	[None]	1.75		
StarJumps	['Quadriceps']	cardio	[None]	2.5	https://www.youtube.com/embed/GNXXsHFI8Y4	
StarPlanks	['Abdominals']	strength	[None]		https://www.youtube.com/embed/a3hfwl9Sidc	
StraightLegSitUps	['Abdominals']	strength	[None, 'kettlebell', 'dumbbell']	2		
SumoDeadLifts	['LowerBack', 'Hamstrings']	strength	['band', 'kettlebell', 'dumbbell']	2.8		
SumoSquats	['Quadriceps', 'Adductors']	strength	[None, 'kettlebell', 'dumbbell']	1.8		
Supermans	['LowerBack']	strength	[None]	1.75		
SurferBurpees	['Quadriceps', 'Chest', 'Shoulders']	cardio	[None]	3.75		
SvendPresses	['Shoulders']	strength	['kettlebell', 'dumbbell']	2.25	https://www.youtube.com/embed/cIoUZOnypS8	
SwitchLunges	['Quadriceps']	cardio	[None, 'kettlebell', 'dumbbell']	1.5		
TeaPots	['Abdominals']	strength	['band', 'kettlebell', 'dumbbell']	1.75	https://www.youtube.com/embed/pjb-hlTsy_8	
ThreeWayVUps	['Abdominals']	strength	[None]	6		
ToeTouches	['Abdominals']	strength	[None]	1		
TPushUps	['Chest', 'Triceps', 'Shoulders']	strength	[None]	3	https://www.youtube.com/embed/1CYd6a90F0A	
TricepExtensionPulses	['Triceps']	strength	['band', 'kettlebell', 'dumbbell']			
TuckJumps	['Quadriceps']	cardio	[None]	2	https://www.youtube.com/embed/r7oBejx1PHM	
TwistingCrunches	['Abdominals']	strength	[None]	1.25		
UnderHandedBentOverRows	['MiddleBack']	strength	['band', 'kettlebell', 'dumbbell']	1.8		
UpdownPlankBurpees	['Quadriceps', 'Shoulders', 'Triceps', 'Abdominals']	cardio	[None]	4.25		
